objectid,parentid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,,,
center_2011,center_2008,center_2011.JPG,,,Jodo Shinshu,Keeping Watch,2021-07-13,"Upper register Nagarjuna and Vasabandhu (India), middle register from China:T'an Luan (Donran) Tao ch'o(Doshaku) and Shan Tao(Zendo) lower register Japan:Genshin and Honen",,"Brüggerner Weg 6, 40547, Düsseldorf",,,cloth,Japan,Image,StillImage,image/jpeg,eng,,,,,,
center_2012,center_2008,center_2012.JPG,,,Hōnen Shōnin,Keeping Watch,2021-07-13,"A picture of sitting Hōnen on a mat with Japanese traditional robe,",Patrick McMarron,"Brüggerner Weg 6, 40547, Düsseldorf",,,cloth,Japan,,Image,MovingImage,video/mp4,eng,,,,,
center_2013,center_2008,center_2013.JPG,,,Praying hall arrangement,,,"An arranged praying hall with stage with sitting chair, displaying praying books and incense burning place. Traditional Japanese style.",Peeled Tree,"Brüggerner Weg 6, 40547, Düsseldorf",,,,Japan,,,record,multiple,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
center_3014,center_3014,center_3014.JPG,,,Main Entrance of Thai temple,,,An entrance door in the center Buddha Head with halo and both side with clouds,,"Markusstraße 44,47055, Duisburg",51.4045055,6.760096162,,Japan,,image/jpeg,,,,,,,,
center_3015,center_3014,center_3015.JPG,,,Emerald Buddha (Jeda Buddha),,,A statue of meditating Buddha made up with green emerald stone with crown and jewelries. The sitting position with cross leg and right palm on the top of left palm. (Samadhi Asana).,,"Markusstraße 44,47055, Duisburg",,,,Japan,,image/jpeg,,,,,,,,
center_3016,center_3014,center_3016.JPG,,,The auspious foot-print mark of Buddha,,,A Panel depicting the auspicious footprint mark of Buddha with side by side decoration of bodhi tree leaves design frame.,,"Markusstraße 44,47055, Duisburg",,,,Japan,,image/jpeg,,,,,,,,
center_3017,center_3014,center_3017.JPG,,,Shakyamuni Buddha,"Mitchell, Edward H.",1909,A statue of Sitting Buddha in meditation position with yellow cloth on the body.,restaurants,"Volmerswerther Str.3,40221, Düsseldorf",,,Brass statue,Thailand,"Spokane, WA","47,65710758","-117,4249084","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Postcard_038,record,multiple,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
center_3018,center_3014,center_3018.JPG,,,Phra pratarnporn,,,"A statue of meditating Buddha made up with silver, the sitting position with cross leg and right palm on the top of left palm. (Samadhi Asana). Traditional art from Luang phor Pae with craving Asana with protective deities and lotus base.",,"Markusstraße 44,47055, Duisburg",,,,Thailand,,image/jpeg,,,,,,,,
center_3019,center_3014,center_3019.JPG,,,Buddha,,,An Image of sitting Buddha with ground touching posture with halo. Representing the moment of enlighten from Bodhagaya.,,"Markusstraße 44,47055, Duisburg",,,,Thailand,,image/jpeg,,,,,,,,
center_3020,center_3014,center_3020.JPG,,,Different posture of Buddha,,1899,"A representing different posture, Thai style Buddha. Left to right 1. A sitting Buddha with Mucalinda naga protected, a standing Buddha, a sitting Buddha, two standing Buddha, sleeping Buddha, walking Buddha, standing Buddha.",Jennie Eva Hughes,"Markusstraße 44,47055, Duisburg",,,,Thailand,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,,record,compound_object,eng,,,,,
center_3021,center_3014,center_3021.JPG,,,A traditional Thai setup of Buddha statues,,1899,"A setup of Thai Buddhist Buddha arrangements in worshiping hall, with huge sitting Buddha backside, middle Enlighten Buddha with halo representation Enlightenment for Buddhagaya, and in the front Thai style samdhi Buddha with high Asana. Both side decorative objects and front two candle and incense.",,"Markusstraße 44,47055, Duisburg",,,,Thailand,Image,StillImage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,,
